YEAR,STATE,Black Ducks,Green-winged teal,Blue-winged teal,Canada goose,Common merganser,Hooded merganser,Mallard,Mute swan,Wood duck
1993,CT,42,0,1,81,0,0,130,5,38
1993,DE,42,50,2,53,0,0,30,0,8
1993,MA,60,4,1,71,0,1,122,19,28
1993,MD,70,5,2,114,0,0,324,14,138
1993,NH,46,2,0,30,15,23,130,0,71
1993,NJ,286,46,15,604,2,0,581,2,141
1993,NY,50,3,24,492,25,15,507,25,181
1993,PA,10,10,46,673,113,3,555,2,308
1993,RI,6,0,0,41,1,0,50,38,2
1993,VA,38,2,2,209,0,0,89,0,77
1993,VT,4,0,0,0,5,0,26,0,18
1994,CT,10,0,0,98,2,0,166,2,45
1994,DE,24,0,0,32,0,0,28,0,8
1994,MA,44,1,0,64,0,2,142,9,42
1994,MD,48,28,23,264,0,0,334,8,163
1994,NH,22,5,0,12,17,26,124,0,53
1994,NJ,448,97,8,923,1,6,698,27,104
1994,NY,38,5,31,265,25,11,584,24,175
1994,PA,4,3,20,597,84,20,688,0,367
1994,RI,6,0,0,2,0,0,32,78,4
1994,VA,36,2,9,250,0,0,146,0,76
1994,VT,2,0,0,4,7,0,34,0,12
1995,CT,30,6,0,97,4,3,164,0,36
1995,DE,10,0,0,83,0,0,26,0,2
1995,MA,65,25,0,69,0,5,198,6,70
1995,MD,62,115,7,274,0,0,249,5,63
1995,NH,44,22,0,47,6,12,114,0,64
1995,NJ,372,314,5,1077,21,3,810,10,169
1995,NY,60,37,29,287,41,17,682,37,229
1995,PA,10,9,23,664,25,2,612,0,330
1995,RI,4,0,0,14,0,0,40,5,2
1995,VA,20,8,8,378,0,5,122,1,98
1995,VT,20,16,0,2,13,0,53,0,24
1996,CT,28,6,0,108,2,0,162,0,68
1996,DE,10,0,0,45,0,0,12,0,4
1996,MA,68,6,8,147,0,10,168,9,70
1996,MD,75,37,0,221,0,0,234,3,40
1996,NH,38,0,3,114,6,16,126,0,93
1996,NJ,627,600,3,1132,0,0,811,13,209
1996,NY,25,11,56,600,25,22,638,32,186
1996,PA,6,36,60,715,3,15,614,0,334
1996,RI,4,0,0,9,0,4,36,3,2
1996,VA,44,4,23,344,0,4,144,2,86
1996,VT,2,2,2,1,9,2,20,0,16
1997,CT,52,2,0,141,9,0,158,0,56
1997,DE,14,0,0,117,0,0,18,0,10
1997,MA,93,4,4,83,1,2,235,17,80
1997,MD,46,127,30,225,0,0,186,9,38
1997,NH,20,0,0,54,10,18,102,0,42
1997,NJ,487,216,16,1221,2,0,693,22,169
1997,NY,60,36,14,354,19,12,600,30,216
1997,PA,12,17,64,752,56,34,627,3,456
1997,RI,2,0,0,19,0,0,44,8,8
1997,VA,53,2,52,446,0,0,96,2,81
1997,VT,2,0,0,29,5,0,53,0,14
1998,CT,36,0,2,133,2,2,160,4,54
1998,DE,20,204,50,144,0,0,24,4,10
1998,MA,80,6,0,114,5,0,216,9,76
1998,MD,46,12,3,308,0,0,253,9,30
1998,NH,32,2,0,71,10,17,84,1,44
1998,NJ,675,146,0,1349,0,1,709,25,222
1998,NY,30,38,17,440,57,29,545,75,235
1998,PA,10,13,42,838,40,9,585,3,388
1998,RI,4,0,3,17,0,0,36,9,8
1998,VA,24,27,27,483,0,10,139,2,98
1998,VT,0,0,2,7,14,0,34,0,18
1999,CT,16,13,0,100,2,8,171,2,16
1999,DE,24,52,0,123,0,0,32,0,12
1999,MA,76,8,2,101,4,7,240,22,102
1999,MD,42,45,0,199,0,0,283,6,44
1999,NH,28,14,2,83,10,17,125,5,48
1999,NJ,1028,272,14,1382,8,0,818,22,224
1999,NY,38,75,33,560,25,24,621,33,232
1999,PA,12,20,55,916,75,12,641,0,421
1999,RI,5,0,0,21,0,0,30,7,10
1999,VA,36,0,0,355,0,2,141,1,101
1999,VT,4,4,0,6,2,0,38,0,26
2000,CT,34,0,0,158,43,2,178,8,46
2000,DE,72,54,0,72,0,0,25,0,12
2000,MA,85,14,2,126,1,2,196,17,66
2000,MD,91,41,172,218,0,0,181,7,44
2000,NH,26,2,0,67,1,7,104,0,62
2000,NJ,787,476,20,1521,7,3,690,14,189
2000,NY,46,23,18,506,19,38,576,25,195
2000,PA,4,17,28,830,52,18,560,4,335
2000,RI,6,0,0,8,0,0,34,7,10
2000,VA,71,0,0,439,0,0,110,1,154
2000,VT,2,8,0,10,6,2,40,0,26
2001,CT,44,7,0,191,14,4,181,4,58
2001,DE,44,0,0,119,0,0,30,3,4
2001,MA,46,10,6,143,0,9,234,18,58
2001,MD,72,217,0,218,0,0,244,7,30
2001,NH,12,0,0,37,8,12,64,0,24
2001,NJ,572,280,2,1287,4,2,688,17,227
2001,NY,33,29,7,541,26,27,629,14,198
2001,PA,10,24,48,934,49,8,598,2,422
2001,RI,8,0,0,14,0,0,14,7,6
2001,VA,34,2,0,416,0,0,135,2,104
2001,VT,2,4,0,26,14,4,66,0,10
2002,CT,18,0,1,88,7,4,180,11,32
2002,DE,35,0,0,87,0,0,27,0,4
2002,MA,68,0,1,159,3,9,243,15,78
2002,MD,50,0,0,270,0,0,274,8,60
2002,NH,26,3,0,26,12,17,102,0,102
2002,NJ,502,54,14,1392,8,1,836,12,238
2002,NY,37,17,19,544,29,7,635,16,217
2002,PA,10,20,32,909,60,30,524,2,453
2002,RI,0,0,0,15,0,0,20,2,2
2002,VA,31,1,0,427,0,0,137,9,91
2002,VT,10,0,0,11,10,0,38,0,20
2003,CT,57,6,0,131,10,0,140,8,42
2003,DE,34,0,291,73,0,0,18,6,0
